cobblefurnies:black_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/black_particle	cobblefurnies:block/blocks/pokewool/black_empty	cobblefurnies:block/blocks/pokewool/black_center	cobblefurnies:block/blocks/pokewool/black_vertical	cobblefurnies:block/blocks/pokewool/black_horizontal
cobblefurnies:black_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/black_particle	cobblefurnies:block/blocks/pokewool/black_empty	cobblefurnies:block/blocks/pokewool/black_center	cobblefurnies:block/blocks/pokewool/black_vertical	cobblefurnies:block/blocks/pokewool/black_horizontal
cobblefurnies:blue_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/blue_particle	cobblefurnies:block/blocks/pokewool/blue_empty	cobblefurnies:block/blocks/pokewool/blue_center	cobblefurnies:block/blocks/pokewool/blue_vertical	cobblefurnies:block/blocks/pokewool/blue_horizontal
cobblefurnies:blue_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/blue_particle	cobblefurnies:block/blocks/pokewool/blue_empty	cobblefurnies:block/blocks/pokewool/blue_center	cobblefurnies:block/blocks/pokewool/blue_vertical	cobblefurnies:block/blocks/pokewool/blue_horizontal
cobblefurnies:brown_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/brown_particle	cobblefurnies:block/blocks/pokewool/brown_empty	cobblefurnies:block/blocks/pokewool/brown_center	cobblefurnies:block/blocks/pokewool/brown_vertical	cobblefurnies:block/blocks/pokewool/brown_horizontal
cobblefurnies:brown_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/brown_particle	cobblefurnies:block/blocks/pokewool/brown_empty	cobblefurnies:block/blocks/pokewool/brown_center	cobblefurnies:block/blocks/pokewool/brown_vertical	cobblefurnies:block/blocks/pokewool/brown_horizontal
cobblefurnies:cyan_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/cyan_particle	cobblefurnies:block/blocks/pokewool/cyan_empty	cobblefurnies:block/blocks/pokewool/cyan_center	cobblefurnies:block/blocks/pokewool/cyan_vertical	cobblefurnies:block/blocks/pokewool/cyan_horizontal
cobblefurnies:cyan_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/cyan_particle	cobblefurnies:block/blocks/pokewool/cyan_empty	cobblefurnies:block/blocks/pokewool/cyan_center	cobblefurnies:block/blocks/pokewool/cyan_vertical	cobblefurnies:block/blocks/pokewool/cyan_horizontal
cobblefurnies:gray_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/gray_particle	cobblefurnies:block/blocks/pokewool/gray_empty	cobblefurnies:block/blocks/pokewool/gray_center	cobblefurnies:block/blocks/pokewool/gray_vertical	cobblefurnies:block/blocks/pokewool/gray_horizontal
cobblefurnies:gray_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/gray_particle	cobblefurnies:block/blocks/pokewool/gray_empty	cobblefurnies:block/blocks/pokewool/gray_center	cobblefurnies:block/blocks/pokewool/gray_vertical	cobblefurnies:block/blocks/pokewool/gray_horizontal
cobblefurnies:green_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/green_particle	cobblefurnies:block/blocks/pokewool/green_empty	cobblefurnies:block/blocks/pokewool/green_center	cobblefurnies:block/blocks/pokewool/green_vertical	cobblefurnies:block/blocks/pokewool/green_horizontal
cobblefurnies:green_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/green_particle	cobblefurnies:block/blocks/pokewool/green_empty	cobblefurnies:block/blocks/pokewool/green_center	cobblefurnies:block/blocks/pokewool/green_vertical	cobblefurnies:block/blocks/pokewool/green_horizontal
cobblefurnies:light_blue_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/light_blue_particle	cobblefurnies:block/blocks/pokewool/light_blue_empty	cobblefurnies:block/blocks/pokewool/light_blue_center	cobblefurnies:block/blocks/pokewool/light_blue_vertical	cobblefurnies:block/blocks/pokewool/light_blue_horizontal
cobblefurnies:light_blue_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/light_blue_particle	cobblefurnies:block/blocks/pokewool/light_blue_empty	cobblefurnies:block/blocks/pokewool/light_blue_center	cobblefurnies:block/blocks/pokewool/light_blue_vertical	cobblefurnies:block/blocks/pokewool/light_blue_horizontal
cobblefurnies:light_gray_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/light_gray_particle	cobblefurnies:block/blocks/pokewool/light_gray_empty	cobblefurnies:block/blocks/pokewool/light_gray_center	cobblefurnies:block/blocks/pokewool/light_gray_vertical	cobblefurnies:block/blocks/pokewool/light_gray_horizontal
cobblefurnies:light_gray_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/light_gray_particle	cobblefurnies:block/blocks/pokewool/light_gray_empty	cobblefurnies:block/blocks/pokewool/light_gray_center	cobblefurnies:block/blocks/pokewool/light_gray_vertical	cobblefurnies:block/blocks/pokewool/light_gray_horizontal
cobblefurnies:lime_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/lime_particle	cobblefurnies:block/blocks/pokewool/lime_empty	cobblefurnies:block/blocks/pokewool/lime_center	cobblefurnies:block/blocks/pokewool/lime_vertical	cobblefurnies:block/blocks/pokewool/lime_horizontal
cobblefurnies:lime_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/lime_particle	cobblefurnies:block/blocks/pokewool/lime_empty	cobblefurnies:block/blocks/pokewool/lime_center	cobblefurnies:block/blocks/pokewool/lime_vertical	cobblefurnies:block/blocks/pokewool/lime_horizontal
